phase,kind,epoch,domain,arm,seed,model,head_mode,n_cases,n_evaluable,background_dice,rim_dice,cup_dice,macro_fg_dice
P1,metrics.csv,40,Drishti_GS,MT_CED,32,student,raw_linear3_same_geometry,25,25,0.9838733352153859,0.6533754879821962,0.7502734544322665,0.7018244712072316
P1,metrics.csv,40,Drishti_GS,MT_CED,32,ema,raw_linear3_same_geometry,25,25,0.9846331534076377,0.6530444677470233,0.7558828217114043,0.7044636447292137
P1,metrics.csv,60,Drishti_GS,MT_CED,32,student,raw_linear3_same_geometry,25,25,0.9844753053622104,0.6639306902002287,0.75759787828727,0.7107642842437493
P1,metrics.csv,60,Drishti_GS,MT_CED,32,ema,raw_linear3_same_geometry,25,25,0.9840439157011047,0.6550229330756687,0.7578991826922089,0.7064610578839389
P1,metrics.csv,80,Drishti_GS,MT_CED,32,student,raw_linear3_same_geometry,25,25,0.9847529847875464,0.6651049894188703,0.7632262680814673,0.7141656287501688
P1,metrics.csv,80,Drishti_GS,MT_CED,32,ema,raw_linear3_same_geometry,25,25,0.9843482991552426,0.6664345255160259,0.7616658284868244,0.714050177001425
P1,metrics.csv,100,Drishti_GS,MT_CED,32,student,raw_linear3_same_geometry,25,25,0.9840361548819808,0.6750768102140303,0.7574111710227048,0.7162439906183675
P1,metrics.csv,100,Drishti_GS,MT_CED,32,ema,raw_linear3_same_geometry,25,25,0.9841333876285075,0.6737243908052477,0.7576246483826873,0.7156745195939674
P1,metrics.csv,20,RIM_ONE_r3,MIX_CTX,32,student,raw_linear3_same_geometry,40,40,0.985998380851236,0.704477320896862,0.6164879737273927,0.6604826473121272
P1,metrics.csv,20,RIM_ONE_r3,MIX_CTX,32,ema,raw_linear3_same_geometry,40,40,0.9858379359852005,0.7088590945416963,0.65400354916424,0.6814313218529681
P1,metrics.csv,40,RIM_ONE_r3,MIX_CTX,32,student,raw_linear3_same_geometry,40,40,0.9836030265419866,0.7106419092916811,0.7145813726075796,0.7126116409496304
P1,metrics.csv,40,RIM_ONE_r3,MIX_CTX,32,ema,raw_linear3_same_geometry,40,40,0.9867177475691176,0.7268849741240845,0.7131761090498415,0.720030541586963
