level,key,policy,rows,retained_rows,excluded_rows,patients,retained_patients,groups,weighting,foreground_dice,rim_dice,cup_dice,mean_iou,gain_macro_fg,gain_rim,gain_cup,harm,status,gain_minus_frozen_PPC,rim_drop,cup_drop
overall,all,O_NO_AREA_lambda050,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.7600448734582724,0.7849381805250215,0.7351515663915233,0.7578002120502352,0.1583717333577878,0.19493176123466646,0.1218117054809092,6.413002907768028e-05,DEFINED,-0.042142139422588654,0.0,0.0
overall,all,O_NO_AREA_lambda075,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8047669525957453,0.8259895829376362,0.7835443222538543,0.797237856074912,0.20309381249526073,0.23598316364728136,0.17020446134324016,0.0017297011309762487,DEFINED,0.002579939714884294,0.0,0.0
overall,all,O_NO_AREA_envelope,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8077533610718672,0.8268447140912827,0.7886620080524516,0.8000234812584001,0.20608022097138262,0.23683829480092766,0.17532214714183755,0.00016243715399290198,DEFINED,0.005566348191006182,0.0,0.0
overall,all,O_FREE_SUBSET_lambda050,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.7620071962788024,0.7873798530511777,0.7366345395064271,0.7597769472159457,0.16033405617831786,0.19737343376082275,0.12329467859581296,6.413002907768028e-05,DEFINED,-0.04017981660205858,0.0,0.0
overall,all,O_FREE_SUBSET_lambda075,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8071383808158138,0.8289190697295804,0.785357691902047,0.799826028475028,0.20546524071532918,0.2389126504392254,0.17201783099143295,0.0017297011309762487,DEFINED,0.004951367934952738,0.0,0.0
overall,all,O_FREE_SUBSET_envelope,198,198,0,177,177,9,original_seed_domain_equal_then_patient_equal,0.8101113980079534,0.8297603629851731,0.7904624330307338,0.8025951304751704,0.2084382579074689,0.23975394369481798,0.17712257212011975,0.00016243715399290198,DEFINED,0.007924385127092454,0.0,0.0
historical,history,current,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.47836333502033,0.4523580210160883,0.5043686490245717,0.5439769588628617,0.0,0.0,0.0,0.0,DEFINED,-0.30842849106680287,0.0,0.0
historical,history,frozen_Ridge_hard,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.8223741661679327,0.8627653086165911,0.7819830237192744,0.810342038492819,0.3440108311476027,0.4104072876005027,0.2776143746947028,0.007051897358775681,DEFINED,0.03558234008079986,0.0,0.0
historical,history,frozen_SHOR,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.791398182909527,0.8181819291510443,0.7646144366680098,0.7865919171006936,0.31303484788919705,0.36582390813495597,0.26024578764343814,0.007051897358775681,DEFINED,0.004606356822394186,0.0,0.0
historical,history,frozen_PPC_C6,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.7867918260871329,0.8116390257920192,0.7619446263822467,0.783563460780679,0.30842849106680287,0.35928100477593067,0.25757597735767507,0.007051897358775681,DEFINED,0.0,0.0,0.0
historical,history,O_CAP_lambda050,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.49830449831037643,0.46870765013789106,0.5279013464828618,0.5593363305474148,0.01994116329004639,0.01634962912180273,0.023532697458290053,1.7835839144773245e-05,DEFINED,-0.28848732777675645,0.0,0.0
historical,history,O_CAP_lambda075,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.5075145934227974,0.47460047140779343,0.5404287154378012,0.5660263037040484,0.0291512584024673,0.02224245039170511,0.03606006641322949,1.7835839144773245e-05,DEFINED,-0.2792772326643356,0.0,0.0
historical,history,O_CAP_envelope,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.5077447059779258,0.47480462487983655,0.5406847870760149,0.566242250730854,0.029381370957595684,0.02244660386374817,0.03631613805144319,1.7835839144773245e-05,DEFINED,-0.2790471201092072,0.0,0.0
historical,history,O_SAFE0_lambda050,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.49826493388399484,0.46872548597703595,0.5278043817909538,0.5592924387215156,0.01990159886366482,0.0163674649609475,0.02343573276638213,0.0,DEFINED,-0.28852689220313804,0.0,0.0
historical,history,O_SAFE0_lambda075,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.5074750289964157,0.4746183072469383,0.5403317507458932,0.5659824118781489,0.02911169397608573,0.022260286230849885,0.035963101721321576,0.0,DEFINED,-0.27931679709071716,0.0,0.0
historical,history,O_SAFE0_envelope,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.5077051415515442,0.4748224607189813,0.540587822384107,0.5661983589049546,0.02934180653121411,0.02246443970289294,0.03621917335953528,0.0,DEFINED,-0.27908668453558877,0.0,0.0
historical,history,O_NO_AREA_lambda050,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.7159209350570118,0.744755662868088,0.6870862072459355,0.7191273129777245,0.2375576000366817,0.2923976418519996,0.18271755822136382,9.619504361652043e-05,DEFINED,-0.07087089103012117,0.0,0.0
historical,history,O_NO_AREA_lambda075,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.7830040537632211,0.8063327664870105,0.7596753410394319,0.7782837790147398,0.3046407187428911,0.35397474547092206,0.2553066920148602,0.002594551696464373,DEFINED,-0.0037877723239117533,0.0,0.0
historical,history,O_NO_AREA_envelope,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.7874836664774039,0.8076154632174798,0.767351869737328,0.7824622167899715,0.3091203314570739,0.3552574422013915,0.26298322071275637,0.000243655730989353,DEFINED,0.0006918403902710368,0.0,0.0
historical,history,O_FREE_SUBSET_lambda050,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.718864419287807,0.7484181716573225,0.6893106669182912,0.7220924157262899,0.24050108426747685,0.29606015064123414,0.18494201789371945,9.619504361652043e-05,DEFINED,-0.06792740679932602,0.0,0.0
historical,history,O_FREE_SUBSET_lambda075,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.786561196093324,0.8107269966749265,0.7623953955117212,0.7821660376149134,0.3081978610729938,0.35836897565883813,0.25802674648714935,0.002594551696464373,DEFINED,-0.00023062999380907279,0.0,0.0
historical,history,O_FREE_SUBSET_envelope,168,168,0,149,149,6,original_seed_domain_equal_then_patient_equal,0.7910207218815334,0.8119889365583154,0.7700525072047514,0.7863196906151272,0.3126573868612033,0.359630915542227,0.26568385818017964,0.000243655730989353,DEFINED,0.004228895794400445,0.0,0.0
