level,key,policy,patients,foreground_dice,gain_macro_fg,weighting
seed_domain,0:Drishti_GS,O_SAFE0_lambda050,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_SAFE0_lambda075,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_SAFE0_envelope,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_NO_AREA_lambda050,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_NO_AREA_lambda075,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_NO_AREA_envelope,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_FREE_SUBSET_lambda050,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_FREE_SUBSET_lambda075,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:Drishti_GS,O_FREE_SUBSET_envelope,10,0.7717733227335752,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,current,40,0.5909988183564835,0.0,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,frozen_Ridge_hard,40,0.867419011326305,0.27642019296982157,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,frozen_SHOR,40,0.867419011326305,0.27642019296982157,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
seed_domain,0:REFUGE,frozen_PPC_C6,40,0.8636623794948722,0.27266356113838874,equal_patient_after_mean_across_seed_case_observations; auxiliary_not_primary
