batch_id,seed,stage_index,domain,pair_index,candidate,primary,CE_before,CE_after,CE_delta,foreground_Dice_delta,FG_class_CE_deltas,FG_class_Dice_deltas
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P0,False,0.298316895005374,0.2999035266586541,0.0015866316532801017,-0.0009160697468748591,"[0.00655607182174589, 0.050740845731620965]","[0.0013164946129842203, -0.0031486341067339385]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P1,False,0.298316895005374,0.2999035266586541,0.0015866316532801017,-0.0009160697468748591,"[0.00655607182174589, 0.050740845731620965]","[0.0013164946129842203, -0.0031486341067339385]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P2,False,0.298316895005374,0.29989320117681917,0.0015763061714451632,-0.0007884816274847939,"[0.021594746799570075, 0.025464841944718764]","[-0.0008256298963739139, -0.0007513333585958959]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P3,False,0.298316895005374,0.2998765975239356,0.0015597025185615787,-0.0008154735582469597,"[0.01974576175409304, 0.024511751822852368]","[-0.0005910605704454452, -0.001039886546048585]"
B0/seed1/stage1/RIM_ONE_r3/pair04,1,1,RIM_ONE_r3,4,P4,True,0.298316895005374,0.2998765975239356,0.0015597025185615787,-0.0008154735582469597,"[0.01974576175409304, 0.024511751822852368]","[-0.0005910605704454452, -0.001039886546048585]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P0,False,0.298316895005374,0.29938392442756956,0.0010670294221955534,-0.0006139096737975969,"[0.009116511954351703, 0.04365786068808397]","[0.0012326281440153686, -0.0024604474916105623]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P1,False,0.298316895005374,0.29938392442756956,0.0010670294221955534,-0.0006139096737975969,"[0.009116511954351703, 0.04365786068808397]","[0.0012326281440153686, -0.0024604474916105623]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P2,False,0.298316895005374,0.2992349686803264,0.000918073674952391,-0.0002511709035777354,"[0.019977594439663404, 0.016176164328524756]","[-0.00023686362234265346, -0.0002654781848128174]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P3,False,0.298316895005374,0.2992320281857905,0.000915133180416472,-0.0005631418649185704,"[0.01988651739518965, 0.01601175159224244]","[-0.00019190398429891342, -0.0009343797455382274]"
B0/seed1/stage1/RIM_ONE_r3/pair05,1,1,RIM_ONE_r3,5,P4,True,0.298316895005374,0.29923202818579053,0.0009151331804165275,-0.0005631418649185704,"[0.019886517395189873, 0.016011751592240664]","[-0.00019190398429891342, -0.0009343797455382274]"
B0/seed1/stage1/RIM_ONE_r3/pair06,1,1,RIM_ONE_r3,6,P0,False,0.298316895005374,0.2992224155480273,0.0009055205426533042,-0.0008132651188118567,"[0.009410947446870876, 0.040782698810813756]","[0.0013517622452264844, -0.002978292482850309]"
