arm,stage,epoch,branch,class_id,pixels,reliable,conflicts,projected,drop_kl_mass,drop_gradient_l2_sum,r_q_norm_sum,r_p_norm_sum,nondegenerate,eta_sum,eta_max,residual_max,smoothing_l1_sum,conflict_rate,predicted_pixels,pas_accepted_pixels,prototype_valid_steps,log_eta_max,log_eta_logsumexp,finite_positive_eta_count,boundary_infinite_eta_count,analytical_brackets,iterations,compensated_v_difference_max
U0,2,5,labeled,1,572098,572098,413309,0,926659.5358793485,362499.7683392695,0.0,362499.7683392695,0,0.0,0.0,0.0,0.007420419023934927,0.7224444063779283,,,,,,,,,,
U0,2,5,labeled,2,417724,417724,257880,0,397865.2480477533,192640.42898527914,0.0,192640.42898527914,0,0.0,0.0,0.0,0.005409123960377846,0.6173454242514196,,,,,,,,,,
U0,2,5,unlabeled,0,5301211,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07062846294076609,0.0,5301211,0,0,,,,,,,
U0,2,5,unlabeled,1,498464,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.006385174126802722,0.0,498464,0,0,,,,,,,
U0,2,5,unlabeled,2,246021,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.003205161866231448,0.0,246021,0,0,,,,,,,
U0,2,10,labeled,0,5211282,5211282,4601800,0,297608.18121981085,11007.44947722039,0.0,11007.44947722039,0,0.0,0.0,0.0,0.06943288579871695,0.8830456689927737,,,,,,,,,,
U0,2,10,labeled,1,572468,572468,400682,0,793701.7278463412,369534.3251596906,0.0,369534.3251596906,0,0.0,0.0,0.0,0.007423400017454654,0.6999203448926403,,,,,,,,,,
U0,2,10,labeled,2,409402,409402,277017,0,713866.7302023508,267286.12640664715,0.0,267286.12640664715,0,0.0,0.0,0.0,0.005303076571216403,0.6766381209666782,,,,,,,,,,
U0,2,10,unlabeled,0,5316684,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.07081596153328613,0.0,5316684,0,0,,,,,,,
U0,2,10,unlabeled,1,426584,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.005458435343530248,0.0,426584,0,0,,,,,,,
