panel_id,seed,stage_index,domain,class_id,K,role,stratum,null_mass,registered_count,null_count,Q_null_worst_case,R95_null_worst_case,Q_directional_conditional,R95_directional
B0-EMA,0,1,RIM_ONE_r3,1,1,val,interior,0.0,16334,0,0.13675087038995878,1.0432225103156714,0.13675087038995878,1.0432225103156714
B0-EMA,0,1,RIM_ONE_r3,1,2,train_labeled,boundary,0.0,4046,0,0.07097089888223025,0.6718463901061156,0.07097089888223025,0.6718463901061156
B0-EMA,0,1,RIM_ONE_r3,1,2,train_labeled,interior,0.0,13794,0,0.06737288514855201,0.656115937553176,0.06737288514855201,0.656115937553176
B0-EMA,0,1,RIM_ONE_r3,1,2,val,boundary,0.0,5866,0,0.08143423801910536,0.7123866494977921,0.08143423801910536,0.7123866494977921
B0-EMA,0,1,RIM_ONE_r3,1,2,val,interior,0.0,16334,0,0.08110989767854682,0.7316786125096326,0.08110989767854682,0.7316786125096326
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,boundary,0.0,4046,0,0.05809858797577269,0.6182729503846242,0.05809858797577269,0.6182729503846242
B0-EMA,0,1,RIM_ONE_r3,1,3,train_labeled,interior,0.0,13794,0,0.0558844639058482,0.6175332229649528,0.0558844639058482,0.6175332229649528
B0-EMA,0,1,RIM_ONE_r3,1,3,val,boundary,0.0,5866,0,0.06842231709048549,0.6523219322246623,0.06842231709048549,0.6523219322246623
B0-EMA,0,1,RIM_ONE_r3,1,3,val,interior,0.0,16334,0,0.06880954178705045,0.6657964421691853,0.06880954178705045,0.6657964421691853
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,boundary,0.0,4046,0,0.04722160970571138,0.5572665423716965,0.04722160970571138,0.5572665423716965
B0-EMA,0,1,RIM_ONE_r3,1,5,train_labeled,interior,0.0,13794,0,0.04410730453746566,0.5484227531677492,0.04410730453746566,0.5484227531677492
B0-EMA,0,1,RIM_ONE_r3,1,5,val,boundary,0.0,5866,0,0.05664097329365161,0.602074761819791,0.05664097329365161,0.602074761819791
B0-EMA,0,1,RIM_ONE_r3,1,5,val,interior,0.0,16334,0,0.05665982831000352,0.6053764111862949,0.05665982831000352,0.6053764111862949
B0-EMA,0,1,RIM_ONE_r3,2,1,train_labeled,boundary,0.0,4931,0,0.07940929890089823,0.7058920167710244,0.07940929890089823,0.7058920167710244
B0-EMA,0,1,RIM_ONE_r3,2,1,train_labeled,interior,0.0,12909,0,0.06555599708799963,0.6236577329054038,0.06555599708799963,0.6236577329054038
B0-EMA,0,1,RIM_ONE_r3,2,1,val,boundary,0.0,5027,0,0.1009376827863909,0.8692649062626302,0.1009376827863909,0.8692649062626302
B0-EMA,0,1,RIM_ONE_r3,2,1,val,interior,0.0,17173,0,0.08979266312262148,0.8416353587596952,0.08979266312262148,0.8416353587596952
B0-EMA,0,1,RIM_ONE_r3,2,2,train_labeled,boundary,0.0,4931,0,0.06136295536498341,0.6211711862442678,0.06136295536498341,0.6211711862442678
B0-EMA,0,1,RIM_ONE_r3,2,2,train_labeled,interior,0.0,12909,0,0.04845115161752555,0.5458556207248414,0.04845115161752555,0.5458556207248414
B0-EMA,0,1,RIM_ONE_r3,2,2,val,boundary,0.0,5027,0,0.07754654195194376,0.7776630850313248,0.07754654195194376,0.7776630850313248
B0-EMA,0,1,RIM_ONE_r3,2,2,val,interior,0.0,17173,0,0.0687209697968009,0.7377515563142377,0.0687209697968009,0.7377515563142377
B0-EMA,0,1,RIM_ONE_r3,2,3,train_labeled,boundary,0.0,4931,0,0.05171254562006383,0.5815401977794988,0.05171254562006383,0.5815401977794988
B0-EMA,0,1,RIM_ONE_r3,2,3,train_labeled,interior,0.0,12909,0,0.039642848946776214,0.500884114722624,0.039642848946776214,0.500884114722624
B0-EMA,0,1,RIM_ONE_r3,2,3,val,boundary,0.0,5027,0,0.06680812108887162,0.7315983964423066,0.06680812108887162,0.7315983964423066
B0-EMA,0,1,RIM_ONE_r3,2,3,val,interior,0.0,17173,0,0.058873831667717515,0.6942369217202902,0.058873831667717515,0.6942369217202902
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,boundary,0.0,4931,0,0.03905035144192536,0.5053928138951408,0.03905035144192536,0.5053928138951408
B0-EMA,0,1,RIM_ONE_r3,2,5,train_labeled,interior,0.0,12909,0,0.031228484154211426,0.4276927788080887,0.031228484154211426,0.4276927788080887
B0-EMA,0,1,RIM_ONE_r3,2,5,val,boundary,0.0,5027,0,0.04845722725803936,0.6011228775227402,0.04845722725803936,0.6011228775227402
B0-EMA,0,1,RIM_ONE_r3,2,5,val,interior,0.0,17173,0,0.04319195965567412,0.5644114735442329,0.04319195965567412,0.5644114735442329
B0-EMA,0,2,Drishti_GS,0,1,train_labeled,boundary,0.0,862,0,0.3283607960838678,0.9754158568784546,0.3283607960838678,0.9754158568784546
B0-EMA,0,2,Drishti_GS,0,1,train_labeled,interior,0.0,15098,0,0.2506802839773056,0.9261409082572476,0.2506802839773056,0.9261409082572476
B0-EMA,0,2,Drishti_GS,0,1,val,boundary,0.0,651,0,0.3192167886827574,0.971279845232637,0.3192167886827574,0.971279845232637
B0-EMA,0,2,Drishti_GS,0,1,val,interior,0.0,12074,0,0.2512228712033198,0.9244417762642904,0.2512228712033198,0.9244417762642904
B0-EMA,0,2,Drishti_GS,0,2,train_labeled,boundary,0.0,862,0,0.2185916597169186,0.9557100828545841,0.2185916597169186,0.9557100828545841
B0-EMA,0,2,Drishti_GS,0,2,train_labeled,interior,0.0,15098,0,0.1310260625414488,0.7125927779894229,0.1310260625414488,0.7125927779894229
B0-EMA,0,2,Drishti_GS,0,2,val,boundary,0.0,651,0,0.21922517701728694,0.9289015163244154,0.21922517701728694,0.9289015163244154
B0-EMA,0,2,Drishti_GS,0,2,val,interior,0.0,12074,0,0.12592475878102116,0.7074352759894493,0.12592475878102116,0.7074352759894493
B0-EMA,0,2,Drishti_GS,0,3,train_labeled,boundary,0.0,862,0,0.1965538444193214,0.9511016368787131,0.1965538444193214,0.9511016368787131
B0-EMA,0,2,Drishti_GS,0,3,train_labeled,interior,0.0,15098,0,0.10782868207478606,0.6352208648803291,0.10782868207478606,0.6352208648803291
B0-EMA,0,2,Drishti_GS,0,3,val,boundary,0.0,651,0,0.19238889441821552,0.9251964863120115,0.19238889441821552,0.9251964863120115
B0-EMA,0,2,Drishti_GS,0,3,val,interior,0.0,12074,0,0.10709953298888644,0.6249376094844508,0.10709953298888644,0.6249376094844508
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,boundary,0.0,862,0,0.15835545486227634,0.8770287774119364,0.15835545486227634,0.8770287774119364
B0-EMA,0,2,Drishti_GS,0,5,train_labeled,interior,0.0,15098,0,0.07653441433893449,0.5674228780931371,0.07653441433893449,0.5674228780931371
B0-EMA,0,2,Drishti_GS,0,5,val,boundary,0.0,651,0,0.15912786985133065,0.8466486276166256,0.15912786985133065,0.8466486276166256
B0-EMA,0,2,Drishti_GS,0,5,val,interior,0.0,12074,0,0.0737818597156312,0.562580267264865,0.0737818597156312,0.562580267264865
B0-EMA,0,2,Drishti_GS,1,1,train_labeled,boundary,0.0,4276,0,0.11969232809863974,0.8451889770412188,0.11969232809863974,0.8451889770412188
B0-EMA,0,2,Drishti_GS,1,1,train_labeled,interior,0.0,11684,0,0.10177926856316412,0.8068077410710272,0.10177926856316412,0.8068077410710272
B0-EMA,0,2,Drishti_GS,1,1,val,boundary,0.0,3621,0,0.14930356883114138,0.8680097767350529,0.14930356883114138,0.8680097767350529
B0-EMA,0,2,Drishti_GS,1,1,val,interior,0.0,9104,0,0.13108770147738175,0.8227337441133039,0.13108770147738175,0.8227337441133039
B0-EMA,0,2,Drishti_GS,1,2,train_labeled,boundary,0.0,4276,0,0.080923802251638,0.6802614379269248,0.080923802251638,0.6802614379269248
B0-EMA,0,2,Drishti_GS,1,2,train_labeled,interior,0.0,11684,0,0.07278550343453873,0.657051817229169,0.07278550343453873,0.657051817229169
B0-EMA,0,2,Drishti_GS,1,2,val,boundary,0.0,3621,0,0.10325250384227594,0.7431946001565364,0.10325250384227594,0.7431946001565364
B0-EMA,0,2,Drishti_GS,1,2,val,interior,0.0,9104,0,0.08905205473635065,0.7037958689174432,0.08905205473635065,0.7037958689174432
B0-EMA,0,2,Drishti_GS,1,3,train_labeled,boundary,0.0,4276,0,0.06338125557483705,0.5904886269675912,0.06338125557483705,0.5904886269675912
B0-EMA,0,2,Drishti_GS,1,3,train_labeled,interior,0.0,11684,0,0.057808675356050936,0.5825778629570084,0.057808675356050936,0.5825778629570084
B0-EMA,0,2,Drishti_GS,1,3,val,boundary,0.0,3621,0,0.07214449077222046,0.6141011047687078,0.07214449077222046,0.6141011047687078
B0-EMA,0,2,Drishti_GS,1,3,val,interior,0.0,9104,0,0.05689921742851821,0.5458768212046142,0.05689921742851821,0.5458768212046142
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,boundary,0.0,4276,0,0.050473272798259125,0.5378213480460247,0.050473272798259125,0.5378213480460247
B0-EMA,0,2,Drishti_GS,1,5,train_labeled,interior,0.0,11684,0,0.041744614114390434,0.49235291518671237,0.041744614114390434,0.49235291518671237
B0-EMA,0,2,Drishti_GS,1,5,val,boundary,0.0,3621,0,0.059386541112687805,0.5786469192621475,0.059386541112687805,0.5786469192621475
B0-EMA,0,2,Drishti_GS,1,5,val,interior,0.0,9104,0,0.045589252653720616,0.4992276516342312,0.045589252653720616,0.4992276516342312
B0-EMA,0,2,Drishti_GS,2,1,train_labeled,boundary,0.0,2732,0,0.12324487599779654,0.8572880097710422,0.12324487599779654,0.8572880097710422
B0-EMA,0,2,Drishti_GS,2,1,train_labeled,interior,0.0,13228,0,0.10915027167126548,0.7863119200073037,0.10915027167126548,0.7863119200073037
B0-EMA,0,2,Drishti_GS,2,1,val,boundary,0.0,2019,0,0.10744701092571568,0.7507024034319303,0.10744701092571568,0.7507024034319303
B0-EMA,0,2,Drishti_GS,2,1,val,interior,0.0,10706,0,0.10450884353295134,0.6988667370120086,0.10450884353295134,0.6988667370120086
B0-EMA,0,2,Drishti_GS,2,2,train_labeled,boundary,0.0,2732,0,0.07427818433282814,0.7074805499204108,0.07427818433282814,0.7074805499204108
B0-EMA,0,2,Drishti_GS,2,2,train_labeled,interior,0.0,13228,0,0.07113608949394495,0.6534525858409662,0.07113608949394495,0.6534525858409662
B0-EMA,0,2,Drishti_GS,2,2,val,boundary,0.0,2019,0,0.059816470856171894,0.584305871355213,0.059816470856171894,0.584305871355213
