candidate,seed,stage_index,point_kind,class_id,requested_coverage,achieved_coverage,reason,predicted_retained_fraction,true_retained_fraction,true_class_recall,predicted_composition,true_composition,predicted_full_mass,true_full_mass
R2,0,0,matched_global,2,0.21221327040847338,0.21221327040847338,,0.001474261368168324,0.00406170057770173,0.0034666339132939164,0.0005256914520332895,0.0006129338632217928,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.05,0.0500000678163697,,0.060237649492980855,0.056629734197815466,0.056629734197815466,1.0,0.9966810483384219,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.05,0.0500000678163697,,0.0,0.0018754798545867163,0.0,0.0,0.003299962972055438,0.0942822943793403,0.08797661675347221
R2,0,0,registered,2,0.05,0.0500000678163697,,0.0,2.96474494722754e-05,0.0,0.0,1.8988689522719332e-05,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.1,0.10000000000161557,,0.12047121386444848,0.11311281434290853,0.11311204369628361,0.9999674479166667,0.995391845703125,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.1,0.10000000000161557,,7.912251690164854e-06,0.005164699969474312,7.708507417125838e-07,7.459852430555551e-06,0.004543728298611108,0.0942822943793403,0.08797661675347221
R2,0,0,registered,2,0.1,0.10000000000161557,,3.315967818980425e-05,0.00020117912141901154,7.835397360529927e-05,2.5092230902777763e-05,6.442599826388882e-05,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.2,0.20000000000834584,,0.24078719311138186,0.22568848798824687,0.22564540884191372,0.9993231879340277,0.9930284288194444,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.2,0.20000000000834584,,0.0005581733919607206,0.014717853211518363,0.00014877419315052867,0.00026312934027777684,0.006474134657118033,0.0942822943793403,0.08797661675347221
R2,0,0,registered,2,0.2,0.20000000000834584,,0.0010933731727448969,0.003106629169702001,0.0025729750792010436,0.00041368272569444303,0.0004974365234374983,0.07567091200086797,0.03202419704861111
R2,0,0,registered,0,0.3,0.3000000678114527,,0.36025657177583925,0.3374801057573866,0.3370852264267764,0.9967658156182602,0.9899405042994742,0.8300467936197674,0.8799991861978903
R2,0,0,registered,1,0.3,0.3000000678114527,,0.005043700804675996,0.028173823758853224,0.0012657369178920626,0.0015851052551031659,0.008262123783337936,0.0942822943793403,0.08797661675347221
